Texture 1 Amp | Texture 2 Amp | User Response | Response Correct? | Reversal Point?
     605      |      300      |      1st      |         1         |      False     
     300      |      495      |      2nd      |         1         |      False     
     300      |      385      |      2nd      |         1         |      False     
     300      |      300      |      1st      |         0         |      True      
     630      |      300      |      1st      |         1         |      True      
     555      |      300      |      1st      |         1         |      False     
     515      |      300      |      1st      |         1         |      False     
     300      |      475      |      2nd      |         1         |      False     
     435      |      300      |    Unsure     |         0         |      True      
     300      |      475      |      2nd      |         1         |      True      
     300      |      445      |      2nd      |         1         |      False     
     425      |      300      |      1st      |         1         |      False     
     405      |      300      |      1st      |         1         |      False     
     300      |      385      |      2nd      |         1         |      False     
     300      |      365      |      2nd      |         1         |      False     
     300      |      345      |      2nd      |         1         |      False     
     325      |      300      |    Unsure     |         0         |      True      
     345      |      300      |      1st      |         1         |      True      
     300      |      330      |    Unsure     |         0         |      True      
     300      |      340      |    Unsure     |         0         |      False     
     350      |      300      |    Unsure     |         0         |      False     
     300      |      360      |      2nd      |         1         |      True      
